<http://zbw.eu/stw/descriptor/18803-0>	Public institution
<http://zbw.eu/stw/descriptor/20485-1>	Freelancers
<http://zbw.eu/stw/descriptor/29030-4>	Management commentary
<http://zbw.eu/stw/descriptor/11302-1>	Managers
<http://zbw.eu/stw/descriptor/16663-0>	Marginalized group
<http://zbw.eu/stw/descriptor/12036-5>	Inter-firm cooperation
<http://zbw.eu/stw/descriptor/11786-2>	Inter-industry linkages
<http://zbw.eu/stw/descriptor/15005-1>	Military goods
<http://zbw.eu/stw/descriptor/29653-3>	Behavioral accounting
<http://zbw.eu/stw/descriptor/11833-5>	Transport policy
<http://zbw.eu/stw/descriptor/14184-1>	Primary energy
<http://zbw.eu/stw/descriptor/19440-5>	Regional wage structure
<http://zbw.eu/stw/descriptor/11578-2>	Public construction contract
<http://zbw.eu/stw/descriptor/18493-3>	Sustainable building
<http://zbw.eu/stw/descriptor/10327-4>	Production function
<http://zbw.eu/stw/descriptor/29442-2>	Reading
<http://zbw.eu/stw/descriptor/16493-6>	Diplomacy
<http://zbw.eu/stw/descriptor/11088-5>	Marxism
<http://zbw.eu/stw/descriptor/19085-6>	Visegrad countries
<http://zbw.eu/stw/descriptor/18588-6>	Liner shipping
<http://zbw.eu/stw/descriptor/29955-1>	Meta-analysis
<http://zbw.eu/stw/thsys/71073>	V.09.06  Government activity
<http://zbw.eu/stw/descriptor/29864-4>	Random sample
<http://zbw.eu/stw/thsys/73381>	N.04.02  State and nation
<http://zbw.eu/stw/descriptor/30045-2>	Optimum population
<http://zbw.eu/stw/descriptor/11915-3>	Location choice
<http://zbw.eu/stw/descriptor/16032-0>	Private international law
<http://zbw.eu/stw/descriptor/16984-1>	Iceland
<http://zbw.eu/stw/descriptor/11521-3>	Currency reform
<http://zbw.eu/stw/descriptor/29721-5>	Debt crisis
<http://zbw.eu/stw/descriptor/18938-5>	Commercial television
<http://zbw.eu/stw/descriptor/18818-1>	Arms trade
<http://zbw.eu/stw/descriptor/18830-4>	Common good
<http://zbw.eu/stw/thsys/70486>	V.03.03  Capital and investment
<http://zbw.eu/stw/descriptor/10049-6>	Multisectoral model
<http://zbw.eu/stw/descriptor/14404-6>	Heating system
<http://zbw.eu/stw/descriptor/16615-4>	Social integration
<http://zbw.eu/stw/descriptor/14252-3>	Building ceramics
<http://zbw.eu/stw/descriptor/10103-5>	Second best
<http://zbw.eu/stw/descriptor/15664-3>	Natural sciences
<http://zbw.eu/stw/thsys/187370>	V.05.01  Money and monetary system
<http://zbw.eu/stw/descriptor/14012-2>	Clergy
<http://zbw.eu/stw/thsys/70096>	N.01  Philosophy, philosophy of science, and religion
<http://zbw.eu/stw/descriptor/30056-4>	Ethnic diversity
<http://zbw.eu/stw/descriptor/29978-3>	Plantation
<http://zbw.eu/stw/descriptor/11771-1>	Expropriation
<http://zbw.eu/stw/descriptor/19610-6>	Bridge
<http://zbw.eu/stw/descriptor/17039-2>	Italy
<http://zbw.eu/stw/descriptor/16969-4>	Obwalden
<http://zbw.eu/stw/descriptor/19039-6>	Supply situation
<http://zbw.eu/stw/descriptor/12619-2>	Learning process
<http://zbw.eu/stw/descriptor/29990-6>	Post-development approach
<http://zbw.eu/stw/descriptor/18028-2>	Special interest magazine
<http://zbw.eu/stw/descriptor/18658-4>	Client-server architecture
<http://zbw.eu/stw/thsys/71084>	V.08.03  Development policy and aid
<http://zbw.eu/stw/descriptor/11652-2>	Profit taxation
<http://zbw.eu/stw/descriptor/29774-5>	Investment under uncertainty
<http://zbw.eu/stw/descriptor/19176-3>	ECOWAS countries
<http://zbw.eu/stw/descriptor/12780-2>	Direct marketing
<http://zbw.eu/stw/descriptor/19496-6>	Multiple job holding
<http://zbw.eu/stw/thsys/72394>	N.09.02.09  Multivariate analysis
<http://zbw.eu/stw/descriptor/29874-1>	Disequilibrium econometric model
<http://zbw.eu/stw/descriptor/19108-6>	Business analysis
<http://zbw.eu/stw/descriptor/17675-2>	Seychelles
<http://zbw.eu/stw/descriptor/17999-4>	Western countries
<http://zbw.eu/stw/descriptor/15340-1>	Regression analysis
<http://zbw.eu/stw/descriptor/16980-2>	Zurich
<http://zbw.eu/stw/thsys/70882>	W.19  ICT industry
<http://zbw.eu/stw/descriptor/11663-4>	Capital income tax
<http://zbw.eu/stw/descriptor/18633-6>	Urban transport policy
<http://zbw.eu/stw/descriptor/16245-4>	Authoritarianism
<http://zbw.eu/stw/descriptor/13665-4>	Broadcast
<http://zbw.eu/stw/descriptor/14427-1>	Maglev train
<http://zbw.eu/stw/descriptor/19571-4>	Martingale
<http://zbw.eu/stw/descriptor/11660-3>	Family taxation
<http://zbw.eu/stw/thsys/70876>	W.21  Business Services
<http://zbw.eu/stw/descriptor/15998-2>	Fundamental right
<http://zbw.eu/stw/descriptor/16638-6>	Quality of life
<http://zbw.eu/stw/descriptor/29062-5>	Health tourism
<http://zbw.eu/stw/descriptor/15336-6>	Multiple regression
<http://zbw.eu/stw/descriptor/29630-1>	Reverse mortgage
<http://zbw.eu/stw/descriptor/17491-5>	Azerbaijan
<http://zbw.eu/stw/descriptor/11153-6>	Agency theory
<http://zbw.eu/stw/descriptor/18338-1>	Forest policy
<http://zbw.eu/stw/descriptor/13082-0>	Photographic industry
<http://zbw.eu/stw/descriptor/13250-5>	Bus transport
<http://zbw.eu/stw/descriptor/27272-4>	Energy price
<http://zbw.eu/stw/descriptor/20810-2>	European Stability Mechanism
<http://zbw.eu/stw/descriptor/16112-2>	Criminal tax law
<http://zbw.eu/stw/descriptor/11613-5>	Public debt
<http://zbw.eu/stw/descriptor/19611-4>	Human geography
<http://zbw.eu/stw/descriptor/13577-1>	Traffic engineering
<http://zbw.eu/stw/descriptor/24859-1>	Payment behaviour
<http://zbw.eu/stw/descriptor/19677-2>	Milk price
<http://zbw.eu/stw/descriptor/28683-6>	Primary school
<http://zbw.eu/stw/descriptor/19765-5>	Social acceptability
<http://zbw.eu/stw/descriptor/13397-3>	Political party
<http://zbw.eu/stw/descriptor/25881-3>	Work behaviour
<http://zbw.eu/stw/descriptor/18660-3>	Electronic data interchange
<http://zbw.eu/stw/descriptor/15995-1>	Local law
<http://zbw.eu/stw/descriptor/11503-5>	Hyperinflation
<http://zbw.eu/stw/descriptor/13177-3>	Underground construction
<http://zbw.eu/stw/descriptor/18598-3>	Tanker shipping
<http://zbw.eu/stw/descriptor/11727-4>	Automatic stabilizer
<http://zbw.eu/stw/descriptor/19453-3>	Urban land use
<http://zbw.eu/stw/descriptor/12932-5>	Residential construction
<http://zbw.eu/stw/descriptor/11295-0>	Occupational choice
<http://zbw.eu/stw/descriptor/10698-4>	Trade agreement
<http://zbw.eu/stw/descriptor/19588-1>	Commodity statistics
<http://zbw.eu/stw/descriptor/19658-6>	Digital broadcast
<http://zbw.eu/stw/descriptor/18181-1>	Regional economic integration
<http://zbw.eu/stw/descriptor/29857-1>	Antibiotics
<http://zbw.eu/stw/thsys/71076>	V.09.04.01  Theory of taxation
<http://zbw.eu/stw/descriptor/14600-6>	Weapons of mass destruction
<http://zbw.eu/stw/descriptor/16003-0>	Martial law
<http://zbw.eu/stw/descriptor/15704-3>	Mercantilism
<http://zbw.eu/stw/descriptor/18287-6>	Storage tank
<http://zbw.eu/stw/descriptor/10344-4>	Sunspots
<http://zbw.eu/stw/descriptor/10040-3>	Allocation
<http://zbw.eu/stw/descriptor/15346-3>	Tobit model
<http://zbw.eu/stw/thsys/70014>	P.12  Chemicals
<http://zbw.eu/stw/descriptor/29445-3>	Academic publication
<http://zbw.eu/stw/descriptor/15709-0>	Mobility
<http://zbw.eu/stw/descriptor/12510-3>	Distribution costs
<http://zbw.eu/stw/descriptor/17588-4>	Singapore
<http://zbw.eu/stw/descriptor/19312-0>	New trade theory
<http://zbw.eu/stw/thsys/70926>	W.12.09  Transport policy
<http://zbw.eu/stw/descriptor/10025-6>	Economy
<http://zbw.eu/stw/descriptor/18229-6>	Electronic waste
<http://zbw.eu/stw/descriptor/13259-1>	Cable car
<http://zbw.eu/stw/descriptor/10816-3>	Country risk
<http://zbw.eu/stw/descriptor/11057-2>	Constitutional economics
<http://zbw.eu/stw/descriptor/16551-4>	State policy
<http://zbw.eu/stw/descriptor/30053-3>	Migrant entrepreneurship
<http://zbw.eu/stw/descriptor/11909-5>	Regional economic potential
<http://zbw.eu/stw/descriptor/29989-5>	Modernization theory
<http://zbw.eu/stw/descriptor/15893-2>	Grassland
<http://zbw.eu/stw/descriptor/16207-5>	Political culture
<http://zbw.eu/stw/descriptor/12916-3>	Capital goods industry
<http://zbw.eu/stw/descriptor/26069-6>	Afghan
<http://zbw.eu/stw/descriptor/14295-6>	Chromium
<http://zbw.eu/stw/descriptor/11753-3>	Concentration measurement
<http://zbw.eu/stw/descriptor/11937-0>	EU regional policy
<http://zbw.eu/stw/descriptor/18357-4>	Local energy services
<http://zbw.eu/stw/descriptor/18971-0>	One-person household
<http://zbw.eu/stw/descriptor/28230-1>	Narrative method
<http://zbw.eu/stw/descriptor/12224-4>	Investment decision
<http://zbw.eu/stw/thsys/70101>	V.10  Industrial organization
<http://zbw.eu/stw/descriptor/12210-1>	Financial economics
<http://zbw.eu/stw/descriptor/29977-5>	Livestock trade
<http://zbw.eu/stw/descriptor/19174-0>	CARICOM countries
<http://zbw.eu/stw/descriptor/18897-0>	Infectious disease
<http://zbw.eu/stw/descriptor/29813-0>	Consumer preferences
<http://zbw.eu/stw/descriptor/29656-4>	Cost minimization
<http://zbw.eu/stw/descriptor/14953-1>	Yogurt
<http://zbw.eu/stw/descriptor/10503-3>	Rural area
<http://zbw.eu/stw/descriptor/19307-0>	Sugar policy
<http://zbw.eu/stw/descriptor/12727-6>	Serial production
<http://zbw.eu/stw/descriptor/30103-0>	London
<http://zbw.eu/stw/descriptor/13067-3>	Machine tool industry
<http://zbw.eu/stw/descriptor/26022-4>	Business-to-business marketing
<http://zbw.eu/stw/descriptor/16960-1>	Fribourg
<http://zbw.eu/stw/descriptor/29681-5>	Core inflation
<http://zbw.eu/stw/descriptor/11448-1>	Money supply
<http://zbw.eu/stw/thsys/70816>	W.32.02  Recycling
<http://zbw.eu/stw/descriptor/17464-1>	Armenia
<http://zbw.eu/stw/descriptor/29303-2>	Film promotion
<http://zbw.eu/stw/descriptor/18007-3>	Sales
<http://zbw.eu/stw/descriptor/15658-5>	Medical sciences
<http://zbw.eu/stw/descriptor/10687-2>	Trade preferences
<http://zbw.eu/stw/descriptor/12665-2>	Supplier relationship management
<http://zbw.eu/stw/descriptor/26804-2>	Thai
<http://zbw.eu/stw/descriptor/11706-5>	Tax reform
<http://zbw.eu/stw/descriptor/10150-3>	Altruism
<http://zbw.eu/stw/descriptor/28634-5>	Higher education teaching
<http://zbw.eu/stw/descriptor/29967-1>	Productivity change
<http://zbw.eu/stw/descriptor/20756-3>	Discrete choice
<http://zbw.eu/stw/descriptor/11545-3>	Public revenue
<http://zbw.eu/stw/descriptor/16661-4>	Minority
<http://zbw.eu/stw/descriptor/11111-1>	Theory of value
<http://zbw.eu/stw/descriptor/28938-6>	DRG (Diagnosis Related Groups)
<http://zbw.eu/stw/descriptor/18889-6>	EU education policy
<http://zbw.eu/stw/descriptor/15903-4>	Desert
<http://zbw.eu/stw/descriptor/26709-3>	Slovakian
<http://zbw.eu/stw/descriptor/16542-5>	Social security
<http://zbw.eu/stw/descriptor/27588-5>	Performance management
<http://zbw.eu/stw/descriptor/18623-2>	Sustainable mobility
<http://zbw.eu/stw/descriptor/18360-1>	Electricity policy
<http://zbw.eu/stw/descriptor/14135-0>	Poultry
<http://zbw.eu/stw/descriptor/18553-4>	Category management
<http://zbw.eu/stw/descriptor/12708-3>	Production capacity
<http://zbw.eu/stw/descriptor/29521-6>	Takeover law
<http://zbw.eu/stw/thsys/70082>	V.12  Environmental and resource economics
<http://zbw.eu/stw/descriptor/18592-1>	Ship registration
<http://zbw.eu/stw/descriptor/14056-3>	Groundnut
<http://zbw.eu/stw/descriptor/14724-2>	Contraceptive
<http://zbw.eu/stw/descriptor/19310-4>	Protectionism
<http://zbw.eu/stw/descriptor/17731-4>	Burundi
<http://zbw.eu/stw/descriptor/29322-5>	Digital media
<http://zbw.eu/stw/descriptor/14270-1>	Steel tube
<http://zbw.eu/stw/descriptor/16658-0>	Elite
<http://zbw.eu/stw/descriptor/18344-6>	Fisheries technology
<http://zbw.eu/stw/descriptor/30183-4>	Innovation system
<http://zbw.eu/stw/descriptor/12782-5>	Franchising
<http://zbw.eu/stw/descriptor/13669-3>	Magazine
<http://zbw.eu/stw/descriptor/25742-3>	Financing
<http://zbw.eu/stw/descriptor/18089-3>	High-speed rail
<http://zbw.eu/stw/descriptor/18421-0>	Vehicle technology
<http://zbw.eu/stw/descriptor/29862-1>	Insects
<http://zbw.eu/stw/descriptor/11490-2>	Interest rate policy
<http://zbw.eu/stw/descriptor/17255-3>	France
<http://zbw.eu/stw/descriptor/18601-5>	Ports policy
<http://zbw.eu/stw/descriptor/19455-6>	Large landowners
<http://zbw.eu/stw/descriptor/12765-5>	Time scheduling
<http://zbw.eu/stw/thsys/196981>	P.19.04  Fats and oils
<http://zbw.eu/stw/descriptor/29143-5>	Business software
<http://zbw.eu/stw/descriptor/10964-2>	Competition law
<http://zbw.eu/stw/descriptor/28951-0>	Case management
<http://zbw.eu/stw/descriptor/30097-4>	Lake Baikal
<http://zbw.eu/stw/descriptor/18867-2>	Learning organization
<http://zbw.eu/stw/descriptor/10205-4>	Monopoly
<http://zbw.eu/stw/descriptor/10682-5>	Foreign economic policy
<http://zbw.eu/stw/thsys/70989>	W.06.09  Rubber and plastics industry
<http://zbw.eu/stw/descriptor/29645-2>	International liquidity
<http://zbw.eu/stw/descriptor/18173-0>	Efficiency wages
<http://zbw.eu/stw/descriptor/13974-5>	Domestic workers
<http://zbw.eu/stw/descriptor/26224-6>	English (Language)
<http://zbw.eu/stw/descriptor/28710-1>	Early childhood education
<http://zbw.eu/stw/descriptor/19091-4>	Inventory accounting
<http://zbw.eu/stw/descriptor/30093-5>	Ottoman Empire
<http://zbw.eu/stw/descriptor/15976-5>	Jurisprudence
<http://zbw.eu/stw/descriptor/18547-6>	Second-hand market
<http://zbw.eu/stw/descriptor/13400-5>	Environmental organization
<http://zbw.eu/stw/descriptor/17628-4>	Kuwait
<http://zbw.eu/stw/descriptor/13490-6>	Hypermarket
<http://zbw.eu/stw/descriptor/10644-6>	Optimal tariff
<http://zbw.eu/stw/descriptor/18750-2>	Real estate finance
<http://zbw.eu/stw/descriptor/16743-2>	Stockholm school
<http://zbw.eu/stw/descriptor/26540-3>	Norwegian
<http://zbw.eu/stw/descriptor/19784-1>	Time
<http://zbw.eu/stw/descriptor/15971-1>	Court decisions
<http://zbw.eu/stw/descriptor/17705-5>	Guinea
<http://zbw.eu/stw/thsys/71092>	V.07.05.01  European economic integration
<http://zbw.eu/stw/descriptor/16362-0>	Conservative party
<http://zbw.eu/stw/descriptor/19321-6>	Financial market regulation
<http://zbw.eu/stw/descriptor/18911-4>	Parental leave
<http://zbw.eu/stw/thsys/70020>	V.04.01  Business cycles
<http://zbw.eu/stw/descriptor/10007-1>	Industrial goods
<http://zbw.eu/stw/descriptor/29556-1>	Innovative SME
<http://zbw.eu/stw/descriptor/11609-3>	Municipal bond
<http://zbw.eu/stw/descriptor/18734-0>	International insurance law
<http://zbw.eu/stw/descriptor/14728-1>	Pharmaceuticals
<http://zbw.eu/stw/descriptor/12607-2>	Job design
<http://zbw.eu/stw/descriptor/29625-1>	Loan rate
<http://zbw.eu/stw/descriptor/20404-6>	Corporate documentation
<http://zbw.eu/stw/descriptor/11436-1>	Fiat money
<http://zbw.eu/stw/descriptor/28482-2>	Future
<http://zbw.eu/stw/descriptor/26787-4>	Tamils
<http://zbw.eu/stw/descriptor/14093-4>	Maize
<http://zbw.eu/stw/descriptor/11411-3>	Cash
<http://zbw.eu/stw/descriptor/15001-2>	Nuclear weapon
<http://zbw.eu/stw/descriptor/10194-4>	Asymmetric information
<http://zbw.eu/stw/descriptor/12621-1>	Work organization
<http://zbw.eu/stw/descriptor/11683-5>	Capital gains tax
<http://zbw.eu/stw/descriptor/15714-0>	Social group
<http://zbw.eu/stw/descriptor/18627-1>	EU transport policy
<http://zbw.eu/stw/descriptor/30070-3>	Narcissism
<http://zbw.eu/stw/descriptor/13511-3>	Transport history
<http://zbw.eu/stw/descriptor/16950-4>	Austria
<http://zbw.eu/stw/descriptor/10904-6>	Market power
<http://zbw.eu/stw/descriptor/26521-0>	Dutch (People)
<http://zbw.eu/stw/descriptor/26275-3>	French
<http://zbw.eu/stw/descriptor/29945-4>	Urban agriculture
<http://zbw.eu/stw/descriptor/13969-5>	Insurance employees
<http://zbw.eu/stw/descriptor/19169-0>	Palau
<http://zbw.eu/stw/descriptor/19685-3>	Capital city
<http://zbw.eu/stw/descriptor/10282-0>	Income hypothesis
<http://zbw.eu/stw/descriptor/28834-4>	Rehabilitation hospital
<http://zbw.eu/stw/descriptor/18746-0>	Facility management
<http://zbw.eu/stw/descriptor/16757-5>	Information technology
<http://zbw.eu/stw/descriptor/28782-4>	Physician practice
<http://zbw.eu/stw/descriptor/29102-5>	Sustainability
<http://zbw.eu/stw/descriptor/12303-1>	Business recovery
<http://zbw.eu/stw/descriptor/29570-0>	Marine conservation
<http://zbw.eu/stw/descriptor/18350-4>	Energy economics
<http://zbw.eu/stw/descriptor/26558-5>	Australasians
<http://zbw.eu/stw/descriptor/15929-0>	Black people
<http://zbw.eu/stw/descriptor/12009-1>	Institutional infrastructure
<http://zbw.eu/stw/descriptor/19832-2>	Groupware
<http://zbw.eu/stw/descriptor/12778-3>	Distribution channel
<http://zbw.eu/stw/descriptor/19057-4>	Equipment leasing
<http://zbw.eu/stw/descriptor/10323-5>	Multiproduct production
<http://zbw.eu/stw/descriptor/11956-3>	Gravity model
<http://zbw.eu/stw/descriptor/10462-5>	Measurement technology
<http://zbw.eu/stw/descriptor/12913-2>	Manufacturing industries
<http://zbw.eu/stw/descriptor/15375-3>	Multiple equation model
<http://zbw.eu/stw/descriptor/11653-0>	Local tax
<http://zbw.eu/stw/descriptor/16868-3>	Hamburg
<http://zbw.eu/stw/descriptor/29447-6>	Musical performance
<http://zbw.eu/stw/descriptor/18775-0>	Research collaboration
<http://zbw.eu/stw/descriptor/30048-3>	Gender differences
<http://zbw.eu/stw/descriptor/12135-3>	Department
<http://zbw.eu/stw/descriptor/14549-1>	Metal packaging
<http://zbw.eu/stw/descriptor/16989-5>	Sweden
<http://zbw.eu/stw/descriptor/13841-3>	Housing costs
<http://zbw.eu/stw/descriptor/19476-5>	City portrait
<http://zbw.eu/stw/descriptor/12203-5>	Dynamic investment appraisal
<http://zbw.eu/stw/descriptor/16629-0>	Trade union movement
<http://zbw.eu/stw/descriptor/30003-4>	Vulnerability analysis
<http://zbw.eu/stw/descriptor/10733-0>	ECU
<http://zbw.eu/stw/descriptor/13102-6>	Printing industry
<http://zbw.eu/stw/descriptor/18023-5>	Production planning and control system
<http://zbw.eu/stw/descriptor/18798-2>	Trade fair marketing
<http://zbw.eu/stw/descriptor/26360-5>	Japanese (People)
<http://zbw.eu/stw/descriptor/10475-3>	Invention
<http://zbw.eu/stw/descriptor/18679-3>	Volatility
<http://zbw.eu/stw/thsys/70037>	B.02  Corporate finance and capital budgeting
<http://zbw.eu/stw/descriptor/19140-3>	Physical distribution
<http://zbw.eu/stw/descriptor/13988-1>	Officials
<http://zbw.eu/stw/descriptor/20277-1>	Simultaneous planning
<http://zbw.eu/stw/descriptor/30069-2>	Psychoanalysis
<http://zbw.eu/stw/descriptor/18352-0>	Mining law
<http://zbw.eu/stw/descriptor/11904-1>	Firm location choice
<http://zbw.eu/stw/descriptor/17799-5>	St. Kitts and Nevis
<http://zbw.eu/stw/descriptor/10625-3>	World economic order
<http://zbw.eu/stw/descriptor/29731-2>	Mundell-Fleming model
<http://zbw.eu/stw/descriptor/13072-3>	Computer industry
<http://zbw.eu/stw/descriptor/19244-5>	Endogenous growth model
<http://zbw.eu/stw/descriptor/17013-6>	Malta
<http://zbw.eu/stw/descriptor/10170-4>	Durable goods
<http://zbw.eu/stw/descriptor/10065-1>	Economic model
<http://zbw.eu/stw/descriptor/12575-3>	Redundancy scheme
<http://zbw.eu/stw/descriptor/10328-2>	Technical efficiency
<http://zbw.eu/stw/descriptor/13823-5>	Actuarial mathematics
<http://zbw.eu/stw/descriptor/15914-6>	Demographic structure
<http://zbw.eu/stw/descriptor/18839-0>	Cooperative management
<http://zbw.eu/stw/descriptor/14422-4>	Military aircraft
<http://zbw.eu/stw/descriptor/16308-6>	Self-government
<http://zbw.eu/stw/descriptor/15935-5>	Romany people
<http://zbw.eu/stw/descriptor/16727-0>	Scientific method
<http://zbw.eu/stw/descriptor/19806-3>	Visualization
<http://zbw.eu/stw/descriptor/10463-3>	Rationalization
<http://zbw.eu/stw/descriptor/11921-1>	Land economy
<http://zbw.eu/stw/descriptor/15842-5>	Workplace conflict
<http://zbw.eu/stw/descriptor/16695-1>	Sociology of technology
<http://zbw.eu/stw/descriptor/29481-6>	Tourism management
<http://zbw.eu/stw/descriptor/11449-6>	Money demand theory
<http://zbw.eu/stw/descriptor/19405-0>	History of taxation
<http://zbw.eu/stw/descriptor/10229-4>	Aggregation
<http://zbw.eu/stw/descriptor/18716-2>	Bank management
<http://zbw.eu/stw/descriptor/18969-1>	Cohabitation
<http://zbw.eu/stw/descriptor/16051-3>	Antitrust law
<http://zbw.eu/stw/descriptor/18440-3>	Bakery industry
<http://zbw.eu/stw/descriptor/24708-1>	ICT industry
